Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank_charges_Net,Cat_Bank_charges_Count,Cat_Custom_and_Duty_Net,Cat_Custom_and_Duty_Count,Cat_Other_receipt_Net,Cat_Other_receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non_Netting_AP_Net,Cat_Non_Netting_AP_Count,Cat_Loan_payment_Net,Cat_Loan_payment_Count,Cat_Tax_payable_Net,Cat_Tax_payable_Count,Cat_Statutory_contribution_Net,Cat_Statutory_contribution_Count,Cat_Interest_income_Net,Cat_Interest_income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest_charges_Net,Cat_Interest_charges_Count,Cat_Loan_payment_and_interest_charges_Net,Cat_Loan_payment_and_interest_charges_Count,Cat_Loan_receipt_Net,Cat_Loan_receipt_Count,Cat_Dividend_payout_Net,Cat_Dividend_payout_Count,Cat_Netting_AP_Net,Cat_Netting_AP_Count,Cat_Netting_AR_Net,Cat_Netting_AR_Count,Cat_Non_Netting_AR_Net,Cat_Non_Netting_AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net,Cat_AP_Lag1,Cat_AP_Rolling4_Mean,Cat_Payroll_Lag1,Cat_Payroll_Rolling4_Mean,Cat_Bank_charges_Lag1,Cat_Bank_charges_Rolling4_Mean,Cat_Custom_and_Duty_Lag1,Cat_Custom_and_Duty_Rolling4_Mean,Cat_Other_receipt_Lag1,Cat_Other_receipt_Rolling4_Mean,Cat_AR_Lag1,Cat_AR_Rolling4_Mean,Cat_Nonting_AP_Lag1,Cat_Nonting_AP_Rolling4_Mean,Cat_Loan_payment_Lag1,Cat_Loan_payment_Rolling4_Mean,Cat_Tax_payable_Lag1,Cat_Tax_payable_Rolling4_Mean,Cat_Statutory_contribution_Lag1,Cat_Statutory_contribution_Rolling4_Mean,Cat_Interest_income_Lag1,Cat_Interest_income_Rolling4_Mean,Cat_Other_Lag1,Cat_Other_Rolling4_Mean,Cat_Interest_charges_Lag1,Cat_Interest_charges_Rolling4_Mean,Cat_Loan_payment_and_interest_charges_Lag1,Cat_Loan_payment_and_interest_charges_Rolling4_Mean,Cat_Loan_receipt_Lag1,Cat_Loan_receipt_Rolling4_Mean,Cat_Dividend_payout_Lag1,Cat_Dividend_payout_Rolling4_Mean,Cat_Netting_AP_Lag1,Cat_Netting_AP_Rolling4_Mean,Cat_Netting_AR_Lag1,Cat_Netting_AR_Rolling4_Mean,Cat_Nonting_AR_Lag1,Cat_Nonting_AR_Rolling4_Mean,AP_Ratio,Payroll_Ratio,Bank_charges_Ratio,Custom_and_Duty_Ratio,Other_receipt_Ratio,AR_Ratio,Nonting_AP_Ratio,Loan_payment_Ratio,Tax_payable_Ratio,Statutory_contribution_Ratio,Interest_income_Ratio,Other_Ratio,Interest_charges_Ratio,Loan_payment_and_interest_charges_Ratio,Loan_receipt_Ratio,Dividend_payout_Ratio,Netting_AP_Ratio,Netting_AR_Ratio,Nonting_AR_Ratio,AP_AR_Ratio,Inflow_Concentration
MY10,1,2025-01-01,2025-01-07,-23916.0806,245.20666,-24161.28726,24161.28726,55,2,53,-434.8378290909091,122.60333,-455.8733445283019,179.82,-14798.34,-24034.71726,52,-126.57,1,0.0,0,0.0,0,245.20666,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,245.20666,-24161.28726,2,53,1,1,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23916.0806,0.0,-23916.0806,0.0,-24034.71726,0.0,-126.57,0.0,0.0,0.0,0.0,0.0,245.20666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9847673057335226,0.005185914880477023,0.0,0.0,0.010046779386000395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24034.71726,1.0
MY10,2,2025-01-08,2025-01-14,-759.8334900000009,22924.744749999998,-23684.57824,23684.57824,81,5,76,-9.380660370370382,4584.94895,-311.63918736842106,17318.94,-5465.59,-23671.04679,74,-0.5715,1,-12.95995,1,0.0,0,5605.80475,4,17318.94,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22924.744749999998,-23684.57824,5,76,1,2,False,1,-23916.0806,245.20666,-24161.28726,0.0,0.0,0.0,0.0,0.0,0.0,-12337.957045000001,16373.939358312393,-24675.914090000002,-24034.71726,-23852.882025,-126.57,-63.57075,0.0,-6.479975,0.0,0.0,245.20666,2925.505705,0.0,8659.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078607727273492,1.2261495412036235e-05,0.0002780548862033578,0.0,0.12027217711792815,0.3715767337731073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3667722614663484,0.6305290877507845
MY10,3,2025-01-15,2025-01-21,-16579.573339999995,14348.631519999999,-30928.204859999998,30928.204859999998,67,3,64,-247.4563185074626,4782.877173333333,-483.25320093749997,14281.56,-9619.93,-21308.274859999998,63,0.0,0,0.0,0,0.0,0,67.07152,2,14281.56,1,-9619.93,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14348.631519999999,-30928.204859999998,3,64,1,3,False,1,-759.8334900000009,22924.744749999998,-23684.57824,-23916.0806,245.20666,-24161.28726,0.0,0.0,0.0,-13751.82914333333,11834.274290643358,-41255.487429999994,-23671.04679,-23004.679636666668,-0.5715,-42.3805,-12.95995,-4.319983333333333,0.0,0.0,5605.80475,1972.69431,17318.94,10533.5,0.0,-3206.6433333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706219904845746,0.0,0.0,0.0,0.0014813649840081874,0.315427515300264,0.21246912923115327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4920131176146023,0.9906948618061766
MY10,4,2025-01-22,2025-01-28,63138.0591800001,875678.049,-812539.98982,812539.98982,64,7,57,986.5321746875015,125096.86414285714,-14255.087540701754,707059.51,-706818.99,-13540.12982,53,-85289.90000000001,2,0.0,0,0.0,0,9.999,1,847044.21,3,-6890.97,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-706818.99,1,0.0,0,28623.84,3,875678.049,-812539.98982,7,57,1,4,True,1,-16579.573339999995,14348.631519999999,-30928.204859999998,-759.8334900000009,22924.744749999998,-23684.57824,0.0,0.0,0.0,5470.642937500026,39640.641143290384,21882.571750000105,-21308.274859999998,-20638.5421825,0.0,-21354.260375,0.0,-3.2399875,0.0,0.0,67.07152,1482.0204825,14281.56,219661.1775,-9619.93,-4127.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176704.7475,0.0,0.0,0.0,7155.96,0.008020367931540427,0.05052066619286594,0.0,0.0,5.9228131497688065e-06,0.5017386324055936,0.0040818009531615514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4186775486026909,0.0,0.016955061100997933,0.015985151259106063,0.9367396120415165
MY10,5,2025-01-29,2025-02-04,-73952.69467,1.04574,-73953.74041,73953.74041,136,1,135,-543.76981375,1.04574,-547.8054845185185,1.04574,-31280.7,-24704.24151,126,-615.1700000000001,2,0.0,0,0.0,0,1.04574,1,0.0,0,0.0,0,0.0,0,0.0,0,-48579.21000000001,6,0.0,0,0.0,0,-55.1189,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.04574,-73953.74041,1,135,1,5,True,1,63138.0591800001,875678.049,-812539.98982,-16579.573339999995,14348.631519999999,-30928.204859999998,-23916.0806,245.20666,-24161.28726,-7038.510579999973,56369.94660366851,-52070.12291999989,-13540.12982,-20805.923244999998,-85289.90000000001,-21476.410375,0.0,-3.2399875,0.0,0.0,9.999,1420.9802525,847044.21,219661.1775,-6890.97,-4127.725,0.0,0.0,0.0,0.0,0.0,-12144.802500000002,0.0,0.0,0.0,0.0,0.0,-13.779725,0.0,0.0,0.0,0.0,0.0,0.0,-706818.99,-176704.7475,0.0,0.0,28623.84,7155.96,0.33404520242805136,0.008318190505645862,0.0,0.0,1.4140261292608711e-05,0.0,0.0,0.0,0.0,0.6568771614249338,0.0,0.0,0.0007453053800764725,0.0,0.0,0.0,0.0,0.0,0.0,24704.24151,1.0
MY10,6,2025-02-05,2025-02-11,-46960.88472,9.78402,-46970.668739999994,46970.668739999994,130,1,129,-361.2375747692308,9.78402,-364.11371116279065,9.78402,-14694.55,-44542.278739999994,127,-119.23,1,0.0,0,0.0,0,9.78402,1,0.0,0,-2309.16,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.78402,-46970.668739999994,1,129,2,1,False,1,-73952.69467,1.04574,-73953.74041,63138.0591800001,875678.049,-812539.98982,-759.8334900000009,22924.744749999998,-23684.57824,-18588.773387499972,59311.19210735216,-99031.0076399999,-24704.24151,-26023.7312325,-615.1700000000001,-21506.075,0.0,0.0,0.0,0.0,1.04574,21.975070000000002,0.0,215331.4425,0.0,-4705.015,0.0,0.0,0.0,0.0,-48579.21000000001,-12144.802500000002,0.0,0.0,0.0,0.0,-55.1189,-13.779725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176704.7475,0.0,0.0,0.0,7155.96,0.9481023728644032,0.0025378640050381673,0.0,0.0,0.00020825725222321169,0.0,0.04915150587833544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44542.278739999994,1.0
MY10,7,2025-02-12,2025-02-18,-13045.71912,6837.900000000001,-19883.61912,19883.61912,165,2,163,-79.06496436363636,3418.9500000000003,-121.98539337423313,6682.27,-5330.63,-19874.92512,161,-0.51324,1,-8.18076,1,0.0,0,155.63,1,6682.27,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6837.900000000001,-19883.61912,2,163,2,2,False,1,-46960.88472,9.78402,-46970.668739999994,-73952.69467,1.04574,-73953.74041,-16579.573339999995,14348.631519999999,-30928.204859999998,-17705.309832499974,59377.37802102532,-112076.72675999989,-44542.278739999994,-25665.393797499997,-119.23,-21506.20331,0.0,-2.04519,0.0,0.0,9.78402,44.114689999999996,0.0,213431.62,-2309.16,-2300.0325000000003,0.0,0.0,0.0,0.0,0.0,-12144.802500000002,0.0,0.0,0.0,0.0,0.0,-13.779725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176704.7475,0.0,0.0,0.0,7155.96,0.743779761575172,1.9206991851592007e-05,0.0003061487620992709,0.0,0.0058241449260838275,0.2500707377447933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9742774715777722,0.9555162038207676
MY10,8,2025-02-19,2025-02-25,-583521.3891500001,14683.9886,-598205.37775,598205.37775,83,3,80,-7030.378182530121,4894.662866666667,-7477.567221875,13541.61,-508574.73,-24848.41775,78,-64782.23,1,0.0,0,0.0,0,1142.3786,2,13541.61,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-508574.73,1,0.0,0,0.0,0,14683.9886,-598205.37775,3,80,2,3,False,1,-13045.71912,6837.900000000001,-19883.61912,-46960.88472,9.78402,-46970.668739999994,63138.0591800001,875678.049,-812539.98982,-179370.171915,270583.99425087735,-695598.1159099999,-19874.92512,-28492.46578,-0.51324,-16379.285810000001,-8.18076,-2.04519,0.0,0.0,155.63,327.20959,6682.27,5055.97,0.0,-577.29,0.0,0.0,0.0,0.0,0.0,-12144.802500000002,0.0,0.0,0.0,0.0,0.0,-13.779725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127143.6825,0.0,0.0,0.0,0.0,0.04054307206858917,0.10569971279776634,0.0,0.0,0.0018639230221978217,0.022094705412570095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8297985866988765,0.0,0.0,1.834967758634313,0.8565097873597143
MY10,9,2025-02-26,2025-03-04,679250.05645,699443.2100000001,-20193.15355,20193.15355,91,2,89,7464.286334615385,349721.60500000004,-226.88936573033706,699255.43,-4698.74,-19872.18475,86,-229.50879999999998,2,0.0,0,0.0,0,187.78,1,699255.43,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-91.46,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,699443.2100000001,-20193.15355,2,89,2,4,True,1,-583521.3891500001,14683.9886,-598205.37775,-13045.71912,6837.900000000001,-19883.61912,-73952.69467,1.04574,-73953.74041,8930.515864999994,517666.0280558812,-16348.059459999902,-24848.41775,-27284.451589999997,-64782.23,-16282.870510000002,0.0,-2.04519,0.0,0.0,1142.3786,373.893155,13541.61,179869.8275,0.0,-577.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.865,0.0,0.0,0.0,0.0,0.0,0.0,-508574.73,-127143.6825,0.0,0.0,0.0,0.0,0.027614203167790986,0.0003189232946315028,0.0,0.0,0.0002609373421232807,0.9716788442297997,0.0,0.0,0.0,0.0,0.0,0.0,0.00012709196565446402,0.0,0.0,0.0,0.0,0.0,0.0,0.028419063903443693,0.9994632027764649
MY10,10,2025-03-05,2025-03-11,-50154.48087,89.31884,-50243.79971000001,50243.79971000001,124,10,114,-404.47161991935485,8.931884,-440.73508517543866,56.9254,-17677.93,-22282.72859,108,0.0,0,0.0,0,0.0,0,89.31884,10,0.0,0,0.0,0,0.0,0,0.0,0,-27961.07112,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,89.31884,-50243.79971000001,10,114,3,1,False,1,679250.05645,699443.2100000001,-20193.15355,-583521.3891500001,14683.9886,-598205.37775,-46960.88472,9.78402,-46970.668739999994,8132.1168274999945,517783.4129650436,-66502.5403299999,-19872.18475,-21719.564052499998,-229.50879999999998,-16253.063010000002,0.0,-2.04519,0.0,0.0,187.78,393.77685999999994,699255.43,179869.8275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6990.26778,0.0,0.0,0.0,0.0,-91.46,-22.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127143.6825,0.0,0.0,0.0,0.0,0.44270510613930547,0.0,0.0,0.0,0.0017745540624762258,0.0,0.0,0.0,0.0,0.5555203397982181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22282.72859,1.0
